Node,Depth
1700,1
1701,4
1702,2
1703,3
1704,1
1705,3
1706,1
1707,2
1708,1
1709,6
1710,3
1711,3
1712,1
1713,3
1714,1
1715,2
1716,1
1717,5
1718,2
1719,3
1720,1
1721,3
1722,1
1723,2
1724,1
1725,5
1726,2
1727,3
1728,1
1729,3
1730,1
1731,2
1732,1
1733,4
1734,2
1735,3
1736,1
1737,3
1738,1
1739,2
1740,1
1741,9
1742,4
1743,4
1744,2
1745,4
1746,2
1747,3
1748,1
1749,6
1750,3
1751,3
1752,1
1753,3
1754,1
1755,2
1756,1
1757,6
1758,3
1759,3
1760,1
1761,3
1762,1
1763,2
1764,1
1765,5
1766,2
1767,3
1768,1
1769,3
1770,1
1771,2
1772,1
1773,7
1774,3
1775,3
1776,1
1777,3
1778,1
1779,2
1780,1
1781,5
1782,2
1783,3
1784,1
1785,3
1786,1
1787,2
1788,1
1789,5
1790,2
1791,3
1792,1
1793,3
1794,1
1795,2
1796,1
1797,4
1798,2
1799,3
1800,1
1801,3
1802,1
1803,2
1804,1
1805,7
1806,3
1807,3
1808,1
1809,3
1810,1
1811,2
1812,1
1813,5
1814,2
1815,3
1816,1
1817,3
1818,1
1819,2
1820,1
1821,5
1822,2
1823,3
1824,1
1825,3
1826,1
1827,2
1828,1
1829,4
1830,2
1831,3
1832,1
1833,3
1834,1
1835,2
1836,1
1837,6
1838,3
1839,3
1840,1
1841,3
1842,1
1843,2
1844,1
1845,5
1846,2
1847,3
1848,1
1849,3
1850,1
1851,2
1852,1
1853,5
1854,2
1855,3
1856,1
1857,3
1858,1
1859,2
1860,1
1861,4
1862,2
1863,3
1864,1
1865,3
1866,1
1867,2
1868,1
1869,9
1870,4
1871,4
1872,2
1873,4
1874,2
1875,3
1876,1
1877,6
1878,3
1879,3
1880,1
1881,3
1882,1
1883,2
1884,1
1885,6
1886,3
1887,3
1888,1
1889,3
1890,1
1891,2
1892,1
1893,5
1894,2
1895,3
1896,1
1897,3
1898,1
1899,2
1900,1
1901,7
1902,3
1903,3
1904,1
1905,3
1906,1
1907,2
1908,1
1909,5
1910,2
1911,3
1912,1
1913,3
1914,1
1915,2
1916,1
1917,5
1918,2
1919,3
1920,1
1921,3
1922,1
1923,2
1924,1
1925,4
1926,2
1927,3
1928,1
1929,3
1930,1
1931,2
1932,1
1933,7
1934,3
1935,3
1936,1
1937,3
1938,1
1939,2
1940,1
1941,5
1942,2
1943,3
1944,1
1945,3
1946,1
1947,2
1948,1
1949,5
1950,2
1951,3
1952,1
1953,3
1954,1
1955,2
1956,1
1957,4
1958,2
1959,3
1960,1
1961,3
1962,1
1963,2
1964,1
1965,6
1966,3
1967,3
1968,1
1969,3
1970,1
1971,2
1972,1
1973,5
1974,2
1975,3
1976,1
1977,3
1978,1
1979,2
1980,1
1981,5
1982,2
1983,3
1984,1
1985,3
1986,1
1987,2
1988,1
1989,4
1990,2
1991,3
1992,1
1993,3
1994,1
1995,2
1996,1
1997,8
1998,4
1999,4
2000,2
2001,4
2002,2
2003,3
2004,1
2005,6
2006,3
2007,3
2008,1
2009,3
2010,1
2011,2
2012,1
2013,6
2014,3
2015,3
2016,1
2017,3
2018,1
2019,2
2020,1
2021,5
2022,2
2023,3
2024,1
2025,3
2026,1
2027,2
2028,1
2029,7
2030,3
2031,3
2032,1
2033,3
2034,1
2035,2
2036,1
2037,5
2038,2
2039,3
2040,1
2041,3
2042,1
2043,2
2044,1
2045,5
2046,2
2047,3
2048,1
2049,3
2050,1
2051,2
2052,1
2053,4
2054,2
2055,3
2056,1
2057,3
2058,1
2059,2
2060,1
2061,7
2062,3
2063,3
2064,1
2065,3
2066,1
2067,2
2068,1
2069,5
2070,2
2071,3
2072,1
2073,3
2074,1
2075,2
2076,1
2077,5
2078,2
2079,3
2080,1
2081,3
2082,1
2083,2
2084,1
2085,4
2086,2
2087,3
2088,1
2089,3
2090,1
2091,2
2092,1
2093,6
2094,3
2095,3
2096,1
2097,3
2098,1
2099,2
2100,1
2101,5
2102,2
2103,3
2104,1
2105,3
2106,1
2107,2
2108,1
2109,5
2110,2
2111,3
2112,1
2113,3
2114,1
2115,2
2116,1
2117,4
2118,2
2119,3
2120,1
2121,3
2122,1
2123,2
2124,1
2125,11
2126,5
2127,4
2128,2
2129,4
2130,2
2131,3
2132,1
2133,6
2134,3
2135,3
2136,1
2137,3
2138,1
2139,2
2140,1
2141,6
2142,3
2143,3
2144,1
2145,3
2146,1
2147,2
2148,1
2149,5
2150,2
2151,3
2152,1
2153,3
2154,1
2155,2
2156,1
2157,7
2158,3
2159,3
2160,1
2161,3
2162,1
2163,2
2164,1
2165,5
2166,2
2167,3
2168,1
2169,3
2170,1
2171,2
2172,1
2173,5
2174,2
2175,3
2176,1
2177,3
2178,1
2179,2
2180,1
2181,4
2182,2
2183,3
2184,1
2185,3
2186,1
2187,2
2188,1
2189,7
2190,3
2191,3
2192,1
2193,3
2194,1
2195,2
2196,1
2197,5
2198,2
2199,3
2200,1
2201,3
2202,1
2203,2
2204,1
2205,5
2206,2
2207,3
2208,1
2209,3
2210,1
2211,2
2212,1
2213,4
2214,2
2215,3
2216,1
2217,3
2218,1
2219,2
2220,1
2221,6
2222,3
2223,3
2224,1
2225,3
2226,1
2227,2
2228,1
2229,5
2230,2
2231,3
2232,1
2233,3
2234,1
2235,2
2236,1
2237,5
2238,2
2239,3
2240,1
2241,3
2242,1
2243,2
2244,1
2245,4
2246,2
2247,3
2248,1
2249,3
2250,1
2251,2
2252,1
2253,9
2254,4
2255,4
2256,2
2257,4
2258,2
2259,3
2260,1
2261,6
2262,3
2263,3
2264,1
2265,3
2266,1
2267,2
2268,1
2269,6
2270,3
2271,3
2272,1
2273,3
2274,1
2275,2
2276,1
2277,5
2278,2
2279,3
2280,1
2281,3
2282,1
2283,2
2284,1
2285,7
2286,3
2287,3
2288,1
2289,3
2290,1
2291,2
2292,1
2293,5
2294,2
2295,3
2296,1
2297,3
2298,1
2299,2
2300,1
2301,5
2302,2
2303,3
2304,1
2305,3
2306,1
2307,2
2308,1
2309,4
2310,2
2311,3
2312,1
2313,3
2314,1
2315,2
2316,1
2317,7
2318,3
2319,3
2320,1
2321,3
2322,1
2323,2
2324,1
2325,5
2326,2
2327,3
2328,1
2329,3
2330,1
2331,2
2332,1
2333,5
2334,2
2335,3
2336,1
2337,3
2338,1
2339,2
2340,1
2341,4
2342,2
2343,3
2344,1
2345,3
2346,1
2347,2
2348,1
2349,6
2350,3
2351,3
2352,1
2353,3
2354,1
2355,2
2356,1
2357,5
2358,2
2359,3
2360,1
2361,3
2362,1
2363,2
2364,1
2365,5
2366,2
2367,3
2368,1
2369,3
2370,1
2371,2
2372,1
2373,4
2374,2
2375,3
2376,1
2377,3
2378,1
2379,2
2380,1
2381,9
2382,4
2383,4
2384,2
2385,4
2386,2
2387,3
2388,1
2389,6
2390,3
2391,3
2392,1
2393,3
2394,1
2395,2
2396,1
2397,6
2398,3
2399,3
2400,1
2401,3
2402,1
2403,2
2404,1
2405,5
2406,2
2407,3
2408,1
2409,3
2410,1
2411,2
2412,1
2413,7
2414,3
2415,3
2416,1
2417,3
2418,1
2419,2
2420,1
2421,5
2422,2
2423,3
2424,1
2425,3
2426,1
2427,2
2428,1
2429,5
2430,2
2431,3
2432,1
2433,3
2434,1
2435,2
2436,1
2437,4
2438,2
2439,3
2440,1
2441,3
2442,1
2443,2
2444,1
2445,7
2446,3
2447,3
2448,1
2449,3
2450,1
2451,2
2452,1
2453,5
2454,2
2455,3
2456,1
2457,3
2458,1
2459,2
2460,1
2461,5
2462,2
2463,3
2464,1
2465,3
2466,1
2467,2
2468,1
2469,4
2470,2
2471,3
2472,1
2473,3
2474,1
2475,2
2476,1
2477,6
2478,3
2479,3
2480,1
2481,3
2482,1
2483,2
2484,1
2485,5
2486,2
2487,3
2488,1
2489,3
2490,1
2491,2
2492,1
2493,5
2494,2
2495,3
2496,1
2497,3
2498,1
2499,2
2500,1
2501,4
2502,2
2503,3
2504,1
2505,3
2506,1
2507,2
2508,1
2509,8
2510,4
2511,4
2512,2
2513,4
2514,2
2515,3
2516,1
2517,6
2518,3
2519,3
2520,1
2521,3
2522,1
2523,2
2524,1
2525,6
2526,3
2527,3
2528,1
2529,3
2530,1
2531,2
2532,1
2533,5
2534,2
2535,3
2536,1
2537,3
2538,1
2539,2
2540,1
2541,7
2542,3
2543,3
2544,1
2545,3
2546,1
2547,2
2548,1
2549,5
2550,2
2551,3
2552,1
2553,3
2554,1
2555,2
2556,1
2557,5
2558,2
2559,3
2560,1
2561,3
2562,1
2563,2
2564,1
2565,4
2566,2
2567,3
2568,1
2569,3
2570,1
2571,2
2572,1
2573,7
2574,3
2575,3
2576,1
2577,3
2578,1
2579,2
2580,1
2581,5
2582,2
2583,3
2584,1
2585,3
2586,1
2587,2
2588,1
2589,5
2590,2
2591,3
2592,1
2593,3
2594,1
2595,2
2596,1
2597,4
2598,2
2599,3
2600,1
2601,3
2602,1
2603,2
2604,1
2605,6
2606,3
2607,3
2608,1
2609,3
2610,1
2611,2
2612,1
2613,5
2614,2
2615,3
2616,1
2617,3
2618,1
2619,2
2620,1
2621,5
2622,2
2623,3
2624,1
2625,3
2626,1
2627,2
2628,1
2629,4
2630,2
2631,3
2632,1
2633,3
2634,1
2635,2
2636,1
2637,10
2638,5
2639,4
2640,2
2641,4
2642,2
2643,3
2644,1
2645,6
2646,3
2647,3
2648,1
2649,3
2650,1
2651,2
2652,1
2653,6
2654,3
2655,3
2656,1
2657,3
2658,1
2659,2
2660,1
2661,5
2662,2
2663,3
2664,1
2665,3
2666,1
2667,2
2668,1
2669,7
2670,3
2671,3
2672,1
2673,3
2674,1
2675,2
2676,1
2677,5
2678,2
2679,3
2680,1
2681,3
2682,1
2683,2
2684,1
2685,5
2686,2
2687,3
2688,1
2689,3
2690,1
2691,2
2692,1
2693,4
2694,2
2695,3
2696,1
2697,3
2698,1
2699,2
2700,1
2701,7
2702,3
2703,3
2704,1
2705,3
2706,1
2707,2
2708,1
2709,5
2710,2
2711,3
2712,1
2713,3
2714,1
2715,2
2716,1
2717,5
2718,2
2719,3
2720,1
2721,3
2722,1
2723,2
2724,1
2725,4
2726,2
2727,3
2728,1
2729,3
2730,1
2731,2
2732,1
2733,6
2734,3
2735,3
2736,1
2737,3
2738,1
2739,2
2740,1
2741,5
2742,2
2743,3
2744,1
2745,3
2746,1
2747,2
2748,1
2749,5
2750,2
2751,3
2752,1
2753,3
2754,1
2755,2
2756,1
2757,4
2758,2
2759,3
2760,1
2761,3
2762,1
2763,2
2764,1
2765,9
2766,4
2767,4
2768,2
2769,4
2770,2
2771,3
2772,1
2773,6
2774,3
2775,3
2776,1
2777,3
2778,1
2779,2
2780,1
2781,6
2782,3
2783,3
2784,1
2785,3
2786,1
2787,2
2788,1
2789,5
2790,2
2791,3
2792,1
2793,3
2794,1
2795,2
2796,1
2797,7
2798,3
2799,3
2800,1
2801,3
2802,1
2803,2
2804,1
2805,5
2806,2
2807,3
2808,1
2809,3
2810,1
2811,2
2812,1
2813,5
2814,2
2815,3
2816,1
2817,3
2818,1
2819,2
2820,1
2821,4
2822,2
2823,3
2824,1
2825,3
2826,1
2827,2
2828,1
2829,7
2830,3
2831,3
2832,1
2833,3
2834,1
2835,2
2836,1
2837,5
2838,2
2839,3
2840,1
2841,3
2842,1
2843,2
2844,1
2845,5
2846,2
2847,3
2848,1
2849,3
2850,1
2851,2
2852,1
2853,4
2854,2
2855,3
2856,1
2857,3
2858,1
2859,2
2860,1
2861,6
2862,3
2863,3
2864,1
2865,3
2866,1
2867,2
2868,1
2869,5
2870,2
2871,3
2872,1
2873,3
2874,1
2875,2
2876,1
2877,5
2878,2
2879,3
2880,1
2881,3
2882,1
2883,2
2884,1
2885,4
2886,2
2887,3
2888,1
2889,3
2890,1
2891,2
2892,1
2893,9
2894,4
2895,4
2896,2
2897,4
2898,2
2899,3
2900,1
2901,6
2902,3
2903,3
2904,1
2905,3
2906,1
2907,2
2908,1
2909,6
2910,3
2911,3
2912,1
2913,3
2914,1
2915,2
2916,1
2917,5
2918,2
2919,3
2920,1
2921,3
2922,1
2923,2
2924,1
2925,7
2926,3
2927,3
2928,1
2929,3
2930,1
2931,2
2932,1
2933,5
2934,2
2935,3
2936,1
2937,3
2938,1
2939,2
2940,1
2941,5
2942,2
2943,3
2944,1
2945,3
2946,1
2947,2
2948,1
2949,4
2950,2
2951,3
2952,1
2953,3
2954,1
2955,2
2956,1
2957,7
2958,3
2959,3
2960,1
2961,3
2962,1
2963,2
2964,1
2965,5
2966,2
2967,3
2968,1
2969,3
2970,1
2971,2
2972,1
2973,5
2974,2
2975,3
2976,1
2977,3
2978,1
2979,2
2980,1
2981,4
2982,2
2983,3
2984,1
2985,3
2986,1
2987,2
2988,1
2989,6
2990,3
2991,3
2992,1
2993,3
2994,1
2995,2
2996,1
